epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.39759,0.28247,0.96606,1,0.09274,0.000552339,0.000552339,0.000552339
2,9.36674,0.15201,0.92534,1,0.1657,0.00108607,0.00108607,0.00108607
3,13.2019,0.2022,0.96154,1,0.11349,0.00159779,0.00159779,0.00159779
4,16.9698,0.2089,0.90498,1,0.21408,0.00156798,0.00156798,0.00156798
5,20.7786,0.19107,0.95928,1,0.10628,0.00153497,0.00153497,0.00153497
6,24.6999,0.13574,0.9638,1,0.08599,0.00150197,0.00150197,0.00150197
7,28.6148,0.12115,0.95928,1,0.1368,0.00146896,0.00146896,0.00146896
8,32.564,0.08407,0.97285,1,0.09451,0.00143595,0.00143595,0.00143595
9,36.6095,0.07277,0.9819,1,0.0786,0.00140295,0.00140295,0.00140295
10,40.6352,0.1038,0.95928,1,0.12349,0.00136994,0.00136994,0.00136994
11,44.6038,0.11727,0.97285,1,0.10107,0.00133693,0.00133693,0.00133693
12,48.6331,0.0808,0.95475,1,0.13274,0.00130393,0.00130393,0.00130393
13,52.4799,0.07496,0.9819,1,0.06096,0.00127092,0.00127092,0.00127092
14,56.5413,0.06198,0.97285,1,0.08068,0.00123791,0.00123791,0.00123791
15,60.6111,0.06434,0.96833,1,0.10915,0.00120491,0.00120491,0.00120491
16,64.7545,0.06075,0.97059,1,0.07915,0.0011719,0.0011719,0.0011719
17,68.8521,0.05002,0.9638,1,0.12387,0.00113889,0.00113889,0.00113889
18,75.9526,0.07022,0.97285,1,0.08811,0.00110589,0.00110589,0.00110589
19,83.3593,0.05303,0.97285,1,0.06526,0.00107288,0.00107288,0.00107288
20,90.881,0.04625,0.95928,1,0.11016,0.00103987,0.00103987,0.00103987
21,98.2514,0.0427,0.96606,1,0.09962,0.00100687,0.00100687,0.00100687
22,105.727,0.04151,0.97059,1,0.06985,0.000973861,0.000973861,0.000973861
23,113.033,0.05415,0.96154,1,0.11747,0.000940855,0.000940855,0.000940855
24,120.31,0.03644,0.97285,1,0.09493,0.000907848,0.000907848,0.000907848
25,127.766,0.0302,0.97511,1,0.1025,0.000874842,0.000874842,0.000874842
26,135.154,0.02641,0.9819,1,0.07282,0.000841835,0.000841835,0.000841835
27,142.366,0.04097,0.96606,1,0.1042,0.000808828,0.000808828,0.000808828
28,149.611,0.03453,0.96833,1,0.10287,0.000775822,0.000775822,0.000775822
29,156.989,0.02755,0.96833,1,0.11323,0.000742815,0.000742815,0.000742815
30,164.316,0.02283,0.95701,1,0.11454,0.000709809,0.000709809,0.000709809
31,171.412,0.0323,0.97511,1,0.1294,0.000676802,0.000676802,0.000676802
32,178.492,0.02026,0.96606,1,0.13326,0.000643795,0.000643795,0.000643795
33,185.889,0.02131,0.97511,1,0.11357,0.000610789,0.000610789,0.000610789
34,193.222,0.01957,0.97738,1,0.12375,0.000577782,0.000577782,0.000577782
35,200.323,0.01567,0.97964,1,0.11456,0.000544776,0.000544776,0.000544776
36,207.607,0.01494,0.97059,1,0.15068,0.000511769,0.000511769,0.000511769
37,214.803,0.02303,0.97059,1,0.13675,0.000478762,0.000478762,0.000478762
38,222.107,0.02293,0.97285,1,0.09514,0.000445756,0.000445756,0.000445756
39,229.428,0.01643,0.97964,1,0.10777,0.000412749,0.000412749,0.000412749
40,236.67,0.02367,0.97964,1,0.09394,0.000379743,0.000379743,0.000379743
41,273.81,0.0179,0.9819,1,0.09785,0.000346736,0.000346736,0.000346736
42,281.463,0.01848,0.9819,1,0.07516,0.000313729,0.000313729,0.000313729
43,288.637,0.01312,0.97964,1,0.10226,0.000280723,0.000280723,0.000280723
44,295.803,0.01474,0.9819,1,0.09463,0.000247716,0.000247716,0.000247716
45,303.094,0.01275,0.97964,1,0.10852,0.00021471,0.00021471,0.00021471
46,310.516,0.01141,0.98643,1,0.0984,0.000181703,0.000181703,0.000181703
47,318.287,0.01295,0.98416,1,0.09848,0.000148696,0.000148696,0.000148696
48,325.809,0.01148,0.98416,1,0.10202,0.00011569,0.00011569,0.00011569
49,333.354,0.0133,0.98416,1,0.10093,8.26832e-05,8.26832e-05,8.26832e-05
50,340.852,0.00792,0.9819,1,0.09396,4.96766e-05,4.96766e-05,4.96766e-05
